H花神5H,6682755738,2022-03-11 15:53:40,香港 其他,"，并要求所有参检人员不聚集、不议论，严禁在网上发布各种文字、照片、视频。常规操作<span class=""url-icon""><img alt=[good] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png"" style=""width:1em; height:1em;"" /></span>"
救救闪蝶兽,1958103854,2022-03-11 15:48:00,其他,官僚主义，是不是他们的必修课?
改了名字的小伙,1817967343,2022-03-11 15:51:22,辽宁 盘锦,乐观点，走走停停也许是为了等记者拍照~
集英_号搞没了的闲鱼兔子,6890687406,2022-03-11 09:51:00,其他,这只是党纪处分，应该不止
leeowell,5580316693,2022-03-11 16:44:37,天津 河东区,有人说这世界上第一个教会孩子说谎的就是老师，因为什么领导检查，来宾参观啊，都会提前安排提问回答的学生说背过的答案。
Just_call_me,5344529145,2022-03-11 16:18:24,安徽 合肥,这是疫情的第几年了？？？
金刀王,1203091483,2022-03-11 00:07:54,其他,"这大无语事件<span class=""url-icon""><img alt=[怒] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png"" style=""width:1em; height:1em;"" /></span><a data-url=""http://t.cn/A66q3Qwg"" href=""http://t.cn/A66q3Qwg"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a>"
南南南南南南洋,6531302769,2022-03-11 18:28:00,吉林,吉林九台一中也很严重了，为什么吉林的都是学生，看的好揪心
什么时候完蛋,6096495528,2022-03-11 15:49:47,其他,学校领导应该追究刑责
郝亚超律师,1787378707,2022-03-11 20:15:55,北京 东城区,发生了疫情，可以理解，毕竟不可能设计铜墙铁壁。但是发生后的应对，就真是地方政府执政能力试金石了。
SHZ微博,2187474837,2022-03-11 15:45:00,上海 长宁区,严查责任人。
年年Vir,7253966048,2022-03-11 16:17:30,吉林 长春,"一定要落实呀<span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span>"
米伽米勒,2373456872,2022-03-11 21:12:24,北京,吉林早该整顿了，去办事，一个个眼睛都长在脑瓜顶，问一句说一句，问多了就说网上也可以办，你扫码回去弄吧，烂在骨子里了，一问啥都不知道，再问就是上面就这么说的，再说就是开会去了，不知道天天开个屁的会，赶紧下去算了
浅末风尘,6351849037,2022-03-11 17:26:59,河北,"又不是疫情刚爆发那个时候，没防疫经验。都特么三年了，这操作真让人无语。<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%90%89%E6%9E%97%E5%86%9C%E4%B8%9A%E7%A7%91%E6%8A%80%E5%AD%A6%E9%99%A2%E7%96%AB%E6%83%85%23&extparam=%23%E5%90%89%E6%9E%97%E5%86%9C%E4%B8%9A%E7%A7%91%E6%8A%80%E5%AD%A6%E9%99%A2%E7%96%AB%E6%83%85%23"" data-hide=""""><span class=""surl-text"">#吉林农业科技学院疫情#</span></a>"
王飞elbert,3205034275,2022-03-11 16:19:09,重庆,加油加油
金钱多点,5589382939,2022-03-11 18:44:27,其他,点赞不是因为暂停，是为了更多人看到
钓友眼镜哥,7370023763,2022-03-11 15:50:49,广东,管理水平一言难尽…
张一鸣1688,6451461718,2022-03-11 16:21:28,其他,老百姓需要你们
聂文君丷Mica,1769005317,2022-03-11 19:27:07,江苏 南京,为什么联系相关部门联系不上！
陆地之岛,2215308607,2022-03-11 17:58:38,北京,"出事了<span class=""url-icon""><img alt=[怒] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png"" style=""width:1em; height:1em;"" /></span>就应该反思而不是压制同学说话"
传说中的小蜗,1788632990,2022-03-11 16:24:54,北京,防控一定要落实到位🙏
纠纠的快乐小天使,2656419223,2022-03-11 22:44:08,吉林 长春,今天晚上都没看见热搜了，我就在吉林市，我都不知道说啥好了，根本忙不过来，我们楼已经有确诊的了，我们被封楼之后，没有物资，没有消毒，没有做核酸，没有倒垃圾，只是把单元的门锁上了，打市长电话说了也没用，告诉打区政府电话，我打了20多遍都没人接，哎，吉林市的疫情真的已经火烧眉毛了
fufhrbekdhf,1680188127,2022-03-11 15:53:03,黑龙江 佳木斯,所以车接人也是作秀吗
芋_今天掉秤了吗,2875594390,2022-03-11 15:07:26,海外,但凡“有人管”，也不至于发wb。
小林子14012,1138867304,2022-03-11 16:15:36,山西 太原,早早关注了，希望得到帮助
特鲁索娃耶,2478399681,2022-03-11 16:21:10,其他,"<span class=""url-icon""><img alt=[微笑] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png"" style=""width:1em; height:1em;"" /></span>天呐，说好的为百姓服务，心系群众👏"
halo_min,2214944295,2022-03-11 12:57:33,辽宁 大连,都不容易啊 爆胎特殊情况大家都不想呀 ！有没有这么夸张，逮着一个农科院的热搜就揪住不放，学生们也没有那么脆弱吧
小小丫头23,6153697772,2022-03-11 16:25:52,浙江,加油
赤子白仙,5193250833,2022-03-11 17:03:58,海外 加拿大,掩蓋錯誤纔是最大的錯誤
一棵柏_,2643507031,2022-03-11 08:37:09,其他,顶顶顶，希望我大吉林的亲人朋友都平安！
零露243693946,5602276491,2022-03-11 16:25:49,天津,加油
沙泥碟,5993090665,2022-03-11 19:33:01,吉林 长春,说的对太对了
艳阳江南,6276851946,2022-03-11 15:47:18,其他,真的无语了！
麟酱LIN-,7138877408,2022-03-11 08:13:07,其他,"UPUPUP<span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span>  姐妹现在怎么样了<span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span>"
亡灵今天独立了吗,2772738831,2022-03-11 16:24:45,辽宁 沈阳,暗访暗访！冲！
观察家家中观察,2899565335,2022-03-11 18:53:41,辽宁 沈阳,更加瞠目结舌的是香港，谢谢
十年一曲,3016296827,2022-03-11 18:16:46,吉林 长春,领导不作为，官官相护，一出事一定会上下打马虎眼的，可怜的就是学生当了炮灰！
我_回来了啊,2166182785,2022-03-11 13:38:40,海外,这张图真的完全没办法让人相信文字内容。转运车好多辆，车牌尾号多少的，荷载多少人，爆胎停在哪了？什么信息都没有，顶你转发500拘留？总有人伺机制造混乱…
uikjhu清晨,5506415953,2022-03-11 16:14:02,黑龙江 哈尔滨,我目前能做的就是顶一下
左Rose祐Bella,7689091428,2022-03-11 16:26:20,其他,😅😅😅
举个栗子abg,7529837703,2022-03-11 01:24:12,其他,其实我一直有个疑问，他们之前为什么不报警呢 学校不管警察肯定会管啊？没有恶意 只是不明白为什么
安安长高高了吗,6538331041,2022-03-11 11:50:43,其他,等后续！他们现在在哪！有没有吃饭！有没有水喝！受伤的有没有及时救治！
快乐小二月,6169126728,2022-03-11 16:25:34,其他,"吉林加油<span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span>"
彩彩彩-虹,5521034910,2022-03-11 20:13:35,山东 青岛,九台一中是真的吗
楠仔xaonan,2942216091,2022-03-11 15:53:24,其他,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%90%89%E6%9E%97%E5%86%9C%E4%B8%9A%E7%A7%91%E6%8A%80%E5%AD%A6%E9%99%A2%E7%96%AB%E6%83%85%23&extparam=%23%E5%90%89%E6%9E%97%E5%86%9C%E4%B8%9A%E7%A7%91%E6%8A%80%E5%AD%A6%E9%99%A2%E7%96%AB%E6%83%85%23"" data-hide=""""><span class=""surl-text"">#吉林农业科技学院疫情#</span></a> <span class=""url-icon""><img alt=[话筒] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/o_huatong-0a3e80b147.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[话筒] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/o_huatong-0a3e80b147.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[话筒] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/o_huatong-0a3e80b147.png"" style=""width:1em; height:1em;"" /></span>"
达斯妮姐姐,6098202652,2022-03-11 02:18:14,广东,我靠 这穿防护服的是学生吧？？刚开始看的时候还以为是医护人员 还觉得这政府速度挺快的 打扰了
雨润-心甜,1798131993,2022-03-11 15:03:39,天津 和平区,早晨就已经到了，包括那个腿受伤的学生
西北小土豆汁,5335354407,2022-03-11 16:26:50,辽宁 沈阳,注意安全
散落一地的是时光,5667781518,2022-03-11 15:47:27,其他,吉林好像也没那么贫穷落后吧，事情处理成这样？
卓子mmd,5849398454,2022-03-11 11:19:20,北京,看了你微博很久，也很喜欢你，但这个贴不客观，未了解事情的全部真相。
君幸食-Manson,1412197272,2022-03-11 13:01:08,北京 朝阳区,这样的行政管理组织能力也是感人，如果把车上的孩子当自己的孩子，应该不会出现这种事。
wlmhmt,7731407535,2022-03-11 16:16:34,山东 菏泽,🙏🙏🙏🙏
潇洒小姐潇洒走一回,1649946032,2022-03-11 07:30:33,山东 济南,学校也不是完全不作为，就是这病毒实在是控制不住了，后边措手不及了，兴许学校早就向上头反映了，是上头让压下来的，我觉得校领导自己不会那么坏坐视不管，因为从做核酸还有送饭菜组织志愿者都在做。我爸在抗疫一线，我太知道疫情突袭的时候有多难了，希望弟弟妹妹们早日渡过难关！
-FAnFAnv--,3884502533,2022-03-11 08:51:40,其他,希望平安，这次吉林人太多了。没有那么多宾馆可以分开隔离，我们是省内距吉林4个小时的车程的县城，也已经腾出宾馆等着隔离的学生。
FDWLH,1860984902,2022-03-11 21:09:17,上海 闵行区,是我们国家应对疫情没经验，还是我们国家的经验不可以被借鉴？如果找自上而下的责任，中央对地方的防疫预案有哪些监管、培训、管理纲要？根源问题出在哪？
是新年好,5239114987,2022-03-11 09:57:20,吉林,全部转运了
杂粮西米露欧耶,5772376615,2022-03-11 07:18:30,其他,我觉得有阳性校长会上报，但为什么没有车来接呢
1223号铲屎官,1525749593,2022-03-11 13:51:56,上海 浦东新区,什么都说不清楚。几点爆胎的？已经爆胎了几个小时？是没人管还是救援车正在路上？车子路上爆胎了就耐心等会，修理总要时间，几十辆车，有一辆爆胎，也算合理概率。别瞎带节奏，年纪轻轻学点好。
美丽人生0738,3815173197,2022-03-11 19:37:33,浙江,ADE效应吧，疫苗没解决问题啊
DSX4843,5975760868,2022-03-11 09:17:01,重庆,还有学校封校都是封学生，从来不封老师，可能只有学生出去才会有危险
达里尼的炉子,3509304681,2022-03-11 12:53:08,辽宁 大连,消息可靠吗？
丑小丫丑小丫小丫,3964895829,2022-03-11 18:16:03,福建 厦门,"怎么感觉你在笑<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
大兔子小丫,3150884230,2022-03-11 07:48:38,吉林 长春,不是学校的问题，学校能做的有限。校长都在当志愿者。其实就是上报了 但是吉林市迟迟没有动作…初春东北天气还很冷  方舱也建不完。 总之就是 当地防疫举措太拉跨…
猴子捉来的唐僧,6401138266,2022-03-11 19:09:34,吉林 长春,"扯淡呢吧，七个小时都能从吉林开到铁岭了，打算上哪去啊七个小时还没到地方？？？<span class=""url-icon""><img alt=[吃瓜] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-7a95e6efc4.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[吃瓜] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-7a95e6efc4.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[吃瓜] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-7a95e6efc4.png"" style=""width:1em; height:1em;"" /></span>"
奶龙的崽崽,5536590555,2022-03-11 10:25:49,陕西,我认为在事情刚出来的时候，我看到这个话题上热搜的时候，确实有些情绪过头，发出的言论有些欠妥。但是在那一刻如果我还能够现在理性的角度去思考问题，我会觉得我没有良心。 很多人来指责我挑拨男女对立，打女拳，我觉得我没有，我认为在当时的心情下我说出什么样的话都不为过。
山下小甜子,3706845021,2022-03-11 11:22:06,海外,"领导为了保住自己的帽子就只会花钱降热搜啊<span class=""url-icon""><img alt=[熊猫] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_xiongmao-74969ad038.png"" style=""width:1em; height:1em;"" /></span>"
小思outsideralice_R,1758909940,2022-03-11 07:31:01,北京,"所以第一例出现的时候学校都做了什么 导致现在变成这样了？一般不就是把阳性密接都带走隔离吗 难道学校并没有这么做<span class=""url-icon""><img alt=[疑问] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yiwen-40c066d5c3.png"" style=""width:1em; height:1em;"" /></span>"
Yeah-moni,5469454485,2022-03-11 21:15:02,福建,你们
幸运的小猴,5532923329,2022-03-11 09:13:42,吉林 长春,帆姐说得对劲儿，点赞！
空蝉修醇待悠年,6869797550,2022-03-11 08:23:07,海外,吃喝住都挺好了，就是，把有病的和没病的放一起，大家互相感染呢？
千锤百炼6371,5362251736,2022-03-11 01:33:06,浙江,处理速度很怏
缝图,2457073114,2022-03-11 19:43:29,广东,查一查校长和校长身边的人，有问题
